Sr. No.		Technology		Level		Popularity		Security Level
								
1		Python		20		High		Low
								
2		JavaScript		20		High		Low
								
3		Java		19		High		High
								
4		C++		20		High		High
								
5		C		20		High		High
								
Sr. No.		Technology		Level		Popularity		Security Level
								
6		Python		19.8		High		Low
				19.8				
7		JavaScript		19.8		High		Low
				19.8				
8		Java		19.8		High		High
				19.8				
9		C++		19.8		High		High
				19.8				
10		C		19.8		High		High
								
Sr. No.		Technology		Level		Popularity		Security Level
								
6		Python		19.8		High		Low
				19.8				
Sr. No.		Technology		Level		Popularity		Security Level
								
6		Python		19.8		High		Low
				19.8				
7		JavaScript		19.8		High		Low
				19.8				
Sr. No.		Technology		Level		Popularity		Security Level
								
6		Python		19.8		High		Low
				19.8				
7		JavaScript		19.8		High		Low
				19.8				
8		Java		19.8		High		High
				19.8				
9		C++		19.8		High		High
				19.8				
10		C		19.8		High		High
								
Sr. No.		Technology		Level		Popularity		Security Level
Sr. No.		Technology		Level		Popularity		Security Level
								
6		Python		19.8		High		Low
				19.8				
7		JavaScript		19.8		High		Low
				19.8				
8		Java		19.8		High		High
				19.8				
9		C++		19.8		High		High
				19.8				
10		C		19.8		High		High
								
Sr. No.		Technology		Level		Popularity		Security Level
								
11		Python		19.8		High		Low
				19.8				
12		JavaScript		19.8		High		Low
				19.8				
13		Java		19.8		High		High
				19.8				
14		C++		19.8		High		High
				19.8				
15		C		19.8		High		High
